Required Concept,CUI,Preferred Name
,C0488542,History of symptoms & diseases:Finding:Point in time:Urinary tract:Nominal:Reported
,C0551592,History of symptoms & diseases:Finding:Point in time:Allergic & Immunologic:Narrative:Reported
,C0551593,History of symptoms & diseases:Finding:Point in time:Allergic & Immunologic:Nominal:Reported
,C0551598,History of symptoms & diseases:Finding:Point in time:Gastrointestinal system:Narrative:Reported
,C0551599,History of symptoms & diseases:Finding:Point in time:Gastrointestinal system:Nominal:Reported
,C0551600,History of symptoms & diseases:Finding:Point in time:Genitourinary systems:Narrative:Reported
,C0551601,History of symptoms & diseases:Finding:Point in time:Genitourinary systems:Nominal:Reported
,C0551602,History of symptoms & diseases:Finding:Point in time:Integumentary system:Narrative:Reported
history of allergies,C0489531,History of allergies
,C0018621,Hay fever
,C0079840,Milk Allergy
,C0260484,Personal history of allergy to penicillin
,C0260486,Personal history of allergy to sulfonamides
,C0260490,Personal history of allergy to analgesic agent
,C0262581,No known drug allergy
,C0339806,Feather allergy
,C0339808,House dust mite allergy
,C0455344,No FH: Allergy
,C0455453,Family history: Allergy
,C0455589,History of - drug allergy
,C0455590,allergic reaction to penicillins
,C0455591,allergy to antibiotic agents
,C0455592,history; allergy to analgesic agent
,C0455593,history; allergy to vaccine
,C0455594,"serum; allergy, personal history"
,C0455595,allergy to cephalosporins
,C0455596,allergy to tetracycline
,C0455606,H/O: non-drug allergy
,C0455607,History of food allergy
,C0475697,history; allergy to anesthetic
,C0475698,allergic reaction to sulfa drugs
,C0481612,Encounter due to personal history of drug allergy
,C0559469,Allergy to eggs
history of medications,C1553893,medication history
,C2133633,reported medication history
,C3468959,medication intolerance anticoagulant medication
,C2112785,postpartum history taking medication
,C0455625,H/O: high risk medication
,C0455633,H/O: regular medication
,C0488501,History of medication use:Finding:Point in time:^Patient:Narrative:Reported
,C0488502,History of medication use:Finding:Point in time:^Patient:Nominal:Reported
,C0489536,History of medication use
,C1290952,Taking medication (activity)
,C1319499,Patient forgets to take medication
,C2054145,taking medication for anemia
,C2054146,taking medication for anxiety
,C2054147,taking medication for depression
,C2054148,taking medication for diabetes
,C2054150,taking medication for headaches
,C2054152,taking medication for infection
,C2133636,reason for stopping medication
,C2133637,self-discontinued medication
,C2169319,ran out of medication
,C2169461,recent change in medication
,C2169646,recently stopped medication
,C2321306,medication intolerance
,C2367290,taking medication for pain
,C2711046,History of therapy with ototoxic medication
,C3250006,currently on medication 'holiday'
,C3506384,recent new medication
,C3532554,History of noncompliance with medication regimen
,C3645892,unintentional underdosing of medication
,C0677082,Obtain and document prescription medication history
,C0677083,Obtain and document nonprescription medication history
,C2020506,stopped medication because of heartburn
,C2020508,stopped medication because of nausea
,C2020509,stopped medication because of rash
,C2054139,Taking high risk medication
,C2054143,taking medication for heart problem
,C2054144,taking medication for a long time
,C2054153,taking medication for joint pain
,C2054154,taking medication for stomach problem
,C2054155,taking medication for thyroid problem
,C2054156,taking medication 'pep pills'
,C2054158,taking medication to help sleep
,C2054159,taking medication to lose weight
,C2054160,taking over-the-counter medication
,C2163374,current medication seems to be helping
,C2702583,taking medication for viral infection
,C2826709,Concomitant Medication Medical History Number
,C3648533,intentional underdosing of medication regimen
,C3835570,taking self-administered medication
,C0510001,Determine health history and previous medication use
,C0548910,History of ineffective health behaviors: medication regimen
,C2020507,stopped medication because of mental changes
,C2047150,housing has social stigma of medication use
,C2054140,taking high-risk medication for a long time
,C2054151,taking medication for high blood pressure (history)
,C2054157,taking medication since start of pregnancy
,C2054161,taking over-the-counter medication for acne
,C2054162,taking over-the-counter medication for allergies
,C2054163,taking over-the-counter medication for colds
,C2054165,taking over-the-counter medication for heartburn
,C2054166,taking over-the-counter medication for pain
,C2054167,taking over-the-counter homeopathic medication
,C2116309,time since medication was stopped: ____ days ago
,C2133638,advised to stop medication by another person
,C2135526,effective duration of single dose of current medication
,C2136228,feel medication is becoming less effective
,C2169454,recent change in dosage of antiarrhythmic medication
,C2169455,recent change in dosage of anticoagulant medication
,C2169457,recent change in dosage of antipsychotic medication
,C2220496,feels current medication is causing a problem
,C2220517,feeling previous medication caused problems
,C2921545,medication list documented
,C2958642,taking medication for a long time prophylactically
,C3249898,taking medication for a long time osteoclast inhibitors
,C3249899,taking medication for a long time bisphosphonates
history of illness,C2186378,Reported history of chronic illness
,C0262512,History of present illness
,C0344339,Family illness
,C0425054,Relative with terminal illness
,C0425062,Family history of psychotic illness
,C0455470,H/O: viral illness
,C0488507,History of present illness:Finding:Point in time:^Patient:Narrative:Reported
,C0488508,History of present illness:Finding:Point in time:^Patient:Nominal:Reported
,C0551588,History of past illness:Finding:Point in time:^Patient:Narrative:Reported
,C0551589,History of past illness:Finding:Point in time:^Patient:Nominal:Reported
,C0552487,History of past illness
,C1827596,History of present illness section
,C1849229,frequent illness
,C2046393,history of present illness unobtainable
,C2114482,previous occupational illness
,C2186268,reported family history of mental illness
,C2215041,active illness
,C2318510,no prior serious illness
,C4061986,History of mental illness
,C0455498,History of - psychiatric disorder
,C2020635,stress associated with serious illness
,C2020636,stress associated with a terminal illness (history)
,C2047939,illness caused by biologic event
,C2047940,illness caused by chemical event
,C2047942,illness caused by nuclear event
,C2047945,illness while traveling abroad
,C2113955,preliminary background history of present illness
,C2142148,left job due to illness
,C2169601,recent severe illness or injury
,C2186518,reported previous neurological illness
,C2957775,rnox assess history of present illness
,C3482456,CMS - history of present illness panel:-:Point in time:^Patient:Document
,C3482457,CMS - history of present illness panel
,C2042156,absent from job due to illness
,C2047941,illness caused by nuclear dirty bomb
,C2074694,chronic emotional stress from illness in family
,C2109387,type of food consumed changed due to illness
,C2135606,amount of food consumed changed due to illness
,C2136460,living with person having serious illness
,C2169536,recent death or serious illness in family
,C2186239,reported chronic illness before age 30
oral intake,C2137071,ENT surgical result oral intake
,C0020505,Hyperphagia
,C0429648,Quantity of drinking
,C0488975,Fluid intake.oral:Vol:Pt:Upper GI tract:Qn:Estimated
,C0488976,Fluid intake.oral:Vol:Pt:Upper GI tract:Qn:Measured
,C0489029,Fluid intake.oral:VRat:10H:Upper GI tract:Qn
,C0489030,Fluid intake.oral:VRat:12H:Upper GI tract:Qn
,C0489031,Fluid intake.oral:VRat:1H:Upper GI tract:Qn
,C0489032,Fluid intake.oral:VRat:8H:Upper GI tract:Qn
,C0489033,Fluid intake.oral:VRat:24H:Upper GI tract:Qn
,C0510698,Encourage oral fluid intake
,C0518037,Oral food intake
,C0558169,Drinking finding
,C1279762,Oral fluid intake rate
,C1286345,Measure of oral fluid intake
,C1504561,Hypophagia
,C2013464,daily intake of oral fluids
,C3260967,Last oral intake:TmStp:Pt:^Patient:Qn:NEMSIS
,C3260968,Last oral intake
,C3714432,Excessive oral intake
,C3714435,Inadequate oral intake
,C3839611,Inadequate oral fluid intake for physiological needs
,C3853099,Modification of schedule of oral intake
,C3877764,Oral intake restriction kit
,C3877829,Oral intake restrictor
,C4039064,Restricting oral intake
,C0578573,Time of last oral fluid intake
,C0578790,Finding of measures of oral fluid intake
,C1964162,"Dysphagia screening conducted prior to order for or receipt of any foods, fluids or medication by mouth"
,C4082137,Labor and delivery oral intake plan
,C4330713,Mouth Symptoms Limit Oral Intake
events,C0441471,Event
,C4019010,National reporting jurisdiction:Loc:Pt:^Event:Nom
,C0456156,Environmental event
,C0480773,Event of undetermined intent
,C1299651,Serious reportable event
,C1320714,Notable event
,C1320715,Airway event
,C1320716,Cardiovascular event
,C1320717,Respiratory event
,C1320718,Neurological event
,C1320719,Tracheal intubation event
,C1321140,Regional anesthesia event
,C1443853,Bioterrorism related event
,C1623626,Event description.adverse event
,C1690974,Accidental event
,C0004044,Asphyxia
,C0004063,Assault
,C0011065,Cessation of life
,C0013142,Drowning
,C0013463,Earthquakes
,C0015187,Euthanasia
,C0016248,Floods
,C0020183,Hurricanes
,C0021148,Incest (event)
,C0021297,Infanticide
,C0023701,Lightning (phenomenon)
,C0033179,Unspecified privation
,C0038661,Suicide
,C0040038,Thromboembolism
,C0040476,Tornadoes
,C0040802,travel
,C0043187,Environmental Wind
,C0080170,Special Events
,C0085639,Falls
,C0086660,Murder
,C0162388,Killing
,C0221188,Tripping
,C0237609,Event Experiences
,C0277619,Traumatic asphyxiation
,C0277632,Garrotment
,C0277648,Manslaughter
,C0277651,Matricide
,C0277652,Patricide
,C0277653,Fratricide
,C0277654,Sororicide
,C0301616,Overexertion
,C0337000,Cyclonic Storms
,C0337012,Snowstorm
,C0337013,Blizzard
,C0337014,Avalanches
,C0337016,Landslides
,C0337196,Collision
,C0337201,Sinking
,C0337209,Slipping
,C0392355,Pollution
,C0418416,Pinched
,C0439614,Event orders
,C0439672,Spontaneous event
,C0450030,Fog
,C0450043,Thunder
,C0456667,Microshock
,C0542351,Battery (assault)
,C0557155,Life event observable
,C0585347,Single event
,C0595861,Parasuicide
,C0680147,social event
,C0680852,event sponsorship
,C0681322,information event
,C0683915,sporting event
,C0741923,cardiac event
,C0877248,Adverse event
,C1114756,Adverse event:Finding:Point in time:^Patient:Nominal
,C1262119,Unevaluable event
,C1336741,Thrombohemorrhagic Event
,C1511572,event cycle
provocation,C0449428,Provocation
,C0449857,Provocation technique
,C0006265,Bronchial Provocation Tests
,C0027431,Nasal Provocation Tests
,C0029121,Oppositional Defiant Disorder
,C0200134,Ergonovine provocation test
,C0430164,Insulin provocation test
,C0430177,Flush provocation test
,C0430554,Lesion provocation phototest
,C0430565,Ophthalmic mucous membrane test
,C0430568,Oral provocation test
,C0430895,Tonography with water provocation
,C0545483,Tonometry-tonography with water provocation
,C1736149,EEG provocation test positive
,C2007569,cardiac catheterization ergonovine provocation
,C2022117,water provocation test
,C2022118,tonometry after provocation
,C2028574,hand provocation tests
,C2959947,Exercise bronchial provocation test
,C3161787,adrenaline provocation test
,C3161792,epinephrine provocation test
,C3804975,Drug provocation test
palliation,C0030231,Palliative Care
,C0679251,disease palliation
,C4508969,Providing Palliation
,C0475092,Palliative course of radiotherapy
,C3653828,Various pain palliation radiopharmaceuticals
,C3248296,"Counseling provided on symptom management, end of life decisions, and palliation (DEM)"
,C3653545,PAIN PALLIATION (BONE SEEKING AGENTS)
pain quality,C1148103,Pain quality:Finding:Point in time:^Patient:Nominal
,C1148406,Pain quality
,C0162703,Pain Threshold
,C1444779,Pain by sensation quality
,C2073339,quality of chest pain
,C2219678,quality of abdominal pain
,C2233592,quality of flank pain
,C2233593,sharp flank pain
,C2233594,knifelike flank pain
,C2233595,dull flank pain
,C4273948,Drilling quality pain
pain region,C0007859,Neck Pain
,C0024031,Low Back Pain
,C0030197,pain in or around eyes
,C0037011,Shoulder Pain
,C0238973,Pain in cheek
,C0458087,Pain finding at anatomical site
,C0578055,Pain of head and neck region
,C0838222,Pain in joint involving shoulder region
,C0839475,"Pain in limb, shoulder region"
,C0848201,pain in the umbilical region
,C0858652,Parotid region pain
,C1403230,pain; lumbar region
,C2032373,pain in left infraspinatus region
,C2032376,pain in left supraspinatus region
,C2032395,pelvic pain on the left
,C2032396,pelvic pain on the right
,C2370973,Radiating pain in a segment or region
,C2896445,Pain in axillary region
,C3649792,chest pain in the pleural region
,C4076174,Joint pain of pelvic region
,C0838226,"Pain in a joint, pelvic region and thigh"
,C0839479,"Pain in limb, pelvic region and thigh"
,C1286317,Characteristics of pain of head and neck region
,C1960987,Pain radiating to lumbar region of back
,C2032372,joint pain in left infraclavicular region
,C2032375,joint pain in left supraclavicular region
,C2032443,pain in infraclavicular region of right shoulder
,C2032444,pain in infraspinatus region of right shoulder
,C2032445,pain in supraclavicular region of right shoulder
,C2032446,pain in supraspinatus region of right shoulder
,C2108862,joint pain in left deltoid region
,C2108893,joint pain in deltoid region of right shoulder
,C2219672,abdominal pain radiating to inguinal region
,C2219991,diffuse bone pain within a region
,C3898958,Have Discomfort or Pain in Pelvic Area
,C1960995,Pain radiating to thoracic region left side
,C1960996,Pain radiating to thoracic region right side
,C2016475,decreased pain and temperature sensation of eyebrow region
,C2016491,decreased pain and temperature sensation of inguinal region (L1 dermatome)
,C2031559,pain of infratemporal region on both sides elicited by function of temporomandibular joint
,C2031561,pain of masseter region on both sides elicited by function of temporomandibular joint
,C2031562,pain of temporal region on both sides elicited by function of temporomandibular joint
,C2031567,pain of left infratemporal region elicited by motion of temporomandibular joint
,C2031569,pain of left temporomandibular joint elicited by motion of masseter region
,C2031570,pain of left temporal region elicited by motion of temporomandibular joint
,C2031574,pain of right infratemporal region elicited by motion of temporomandibular joint
,C2031576,pain of right masseter region elicited by motion of temporomandibular joint
,C2031577,pain of right temporal region elicited by motion of temporomandibular joint
,C2032612,pain over left shoulder blade
,C2032613,pain over right shoulder blade
,C0008031,Chest Pain
pain severity,C1507013,Pain severity
,C4085211,Pain Distress Question
,C1508023,pain severity reported
,C1508029,Pain severity:Score:Pt:^Patient:Qn:Reported.visual analog score
,C1508030,Pain severity.total:Score:Pt:^Patient:Qn:Observed.FLACC
,C1508031,Pain severity.face:Find:Pt:^Patient:Ord:Observed.FLACC
,C1508032,Pain severity.legs:Find:Pt:^Patient:Ord:Observed.FLACC
,C1508033,Pain severity.activity:Find:Pt:^Patient:Ord:Observed.FLACC
,C1508034,Pain severity.cry:Find:Pt:^Patient:Ord:Observed.FLACC
,C1508035,Pain severity.consolability:Find:Pt:^Patient:Ord:Observed.FLACC
,C2073281,chest pain increasing in severity
,C2233590,severity of flank pain
,C2367760,pain severity quantified
,C2735093,Pain severity descriptive category:Arbitrary:Point in time:^Patient:Ordinal
,C2735094,Pain severity descriptive category
,C2736105,Pain severity:Find:Pt:^Patient:Ord:Reported.FPS-R
,C2737163,Pain severity in last 5D
,C3173431,Pain severity:Score:Pt:^Patient:Qn:PhenX
,C3539022,pelvic pain decreasing in severity
,C3539889,pelvic pain increasing in severity
,C3641836,Average Severity of Pain
,C3642057,GCGI - Global Severity of Pain
,C3829851,HAQ-DI With VAS - Severity of Pain in the Past Week
,C3853784,Pain severity:Finding:Point in time:^Patient:Ordinal:Reported
,C4068797,Pain severity 0-10
,C4085210,Usual Severity Pain
,C1971428,Pain severity quantified; pain present (COA) (ONC)
,C1971429,Pain severity quantified; no pain present (COA) (ONC)
,C2598399,Pain severity during last 2D
,C2735091,Pain severity verbal numeric scale:Finding:Point in time:^Patient:Quantitative
,C2735092,Pain severity verbal numeric scale
,C3693865,pain severity by visual analog scale
,C4295159,pain level by brief pain inventory severity score
,C4537556,WHYMPI pain experience subscale: pain severity score
,C1508036,Pain severity:Find:Pt:^Patient:Ord:Reported.Wong-Baker FACES pain rating scale
,C2598398,Pain severity during last 2D:Score:2D:^Patient:Ord:Reported
,C2739400,Pain severity in last 5D:Find:5D:^Patient:Ord:CMS Assessment
,C3496591,Pain severity - 0-10 verbal numeric rating:Number:Point in time:^Patient:Quantitative:Reported
,C3533077,Pain severity - 0-10 verbal numeric rating
deformities,C0000768,Congenital Abnormality
,C1527361,deformities qualifier
,C0014670,Equinus Deformity
,C0016506,Foot Deformities
,C0016508,Congenital Foot Deformity
,C0018564,Hand deformities
,C0022360,Jaw Abnormalities
,C0025585,Deformity of metatarsal
,C0039273,Talipes cavus
,C0042282,Valgus deformity
,C0149662,Deformity of toe
,C0152438,Sprengel deformity
,C0158476,Boutonnière deformity
,C0162019,Deformity of orbit
,C0221430,Acquired deformity
,C0235942,Abnormality of the skull
,C0238983,Chest deformity
,C0239207,ear deformity
,C0239337,Deformity of limb
,C0240434,Nail deformity
,C0240547,Deformity of the nose
,C0241052,skeletal deformity
,C0265605,Congenital anomaly of finger
,C0266449,Congenital anomaly of brain
,C0333041,DISPLACEMENTS AND DEFORMITIES
,C0333068,Flexion contracture
,C0342102,Nipple deformity
,C0343296,Deformity of femur
,C0410719,Deformity of bone
,C0410740,Acquired deformity of finger
,C0427244,Joint deformity
,C0432593,Varus angulation
,C0567474,Deformity of breast
,C0575157,Deformity of spine
,C0575167,Deformity of neck
,C0575499,Deformity of sternum
,C0575990,Leg deformity NOS
,C0576091,Deformity of knee joint
,C0740335,Wrist deformity
,C0854297,Head deformity
,C0919717,Arm deformity
,C1385263,Deformity of face
,C1396013,ultrasound; deformities
,C1404203,Trunk deformities
,C1404246,vaginal abnormality
,C1439256,Thorax deformities
,C1705254,Neonatal Deformity
,C1860450,Calcaneovalgus deformity
,C1860493,Abnormality of the sternum
,C1969236,Mitten deformity
,C2673319,Talipes deformities
,C3494419,Dentofacial Deformities
,C0155277,Orbital deformity associated with craniofacial deformity
,C0000772,Multiple congenital anomalies
,C0001170,Acquired deformities of auricle or pinna
,C0010964,Dandy-Walker Syndrome
,C0013446,"Ear Deformities, Acquired"
,C0016507,"Foot Deformities, Acquired"
,C0018565,"Hand Deformities, Acquired"
,C0018566,Congenital Hand Deformities
,C0028431,"Nose Deformities, Acquired"
,C0079157,Reduction deformities of brain
,C0085433,"Joint Deformities, Acquired"
,C0155133,Other corneal deformities
,C0158457,Acquired deformity of toe
,C0158463,Other acquired deformities of limbs
,C0158474,Other acquired deformities of finger
,C0158477,Swan-neck deformity
,C0158478,Acquired deformity of hip
,C0158482,Other acquired deformities of hip
,C0158487,Other acquired deformities of knee
,C0158709,Certain congenital musculoskeletal deformities
,C0158712,Congenital musculoskeletal deformities of spine
,C0158722,Congenital talipes varus
,C0158725,Other congenital varus deformities of feet
,C0158726,Congenital valgus deformity of foot
,C0158728,Other congenital valgus deformities of feet
,C0158729,Other congenital deformities of feet
,C0158773,Other congenital musculoskeletal anomalies
,C0158775,Congenital anomaly of spine
,C0206762,"Limb Deformities, Congenital"
,C0221373,Claw hand
,C0235801,Congenital anomaly of jaw
,C0264132,Acquired musculoskeletal deformity
,C0264155,Acquired deformity of limb
,C0264179,Acquired deformity of spine
,C0265527,Congenital anomaly of skull
,C0265547,Longitudinal deficiency of limb
,C0265615,Congenital deformity of hip joint
,C0266498,Congenital anomaly of spinal cord
,C0266572,Congenital anomaly of eyelid
,C0266617,Congenital anomaly of face
,C0409346,Contracture of joint of thumb
,C0409355,Flexion contracture of the knee
,C0410713,Other acquired deformities
,C0410760,Plantarflexion deformity of foot
,C0410773,Adductus deformity of foot
,C0431943,"Lower Extremity Deformities, Congenital"
,C0477573,Other deformities of toe(s) (acquired)
,C0477971,Other reduction deformities of brain
,C0478063,Other congenital deformities of hip
,C0478065,Other congenital deformities of chest
,C0494922,Acquired deformities of fingers and toes
,C0498290,osteoplasty - for orthognathic deformities
,C0575168,Cervical spine deformity
,C0596017,"Flexion deformity of finger, general"
,C0749794,"Upper Extremity Deformities, Congenital"
,C0810192,Bunionectomy or repair of toe deformities
,C0841369,Procedures for other toe deformities
,C0852333,Spine and neck deformities
,C1096086,Deformity of lower limb
,C1261329,FH: Congenital anomaly
,C1404265,"spine; deformity, rachitic (manifestation)"
,C1578482,Valgus deformities of feet
,C1834809,Lower limb deformities (69%)
,C1834810,Hand deformities (61%)
,C1842242,Foot deformities may occur
,C1842370,Compression deformities of the spine
,C1850113,Long bone deformities
,C1851419,Madelung-like forearm deformities
,C1853572,Hip flexion deformities
,C1854786,Epiphyseal deformities of tubular bones
,C2083782,thoracic spine showed deformities
,C2164692,deformities of both feet
,C2178597,ape hand deformities of both hands
,C2186034,deformities of both lower legs
,C2229964,born with congenital abnormalities
,C2237526,bilateral hip deformities
,C2673935,Deformities of the calyceal system
,C2880411,Other and unspecified corneal deformities
,C2880424,"Other corneal deformities, bilateral"
,C2894519,Other acquired deformities of foot
,C3150383,Talipes deformities (rare)
,C3151215,"Bone deformities, multiple"
,C3151987,Deformities of metatarsal bones (rare)
,C3279259,Mild bone deformities
contusion,C0009938,Contusions
,C3532634,Contusion absent
,C0149844,Brain Contusion
,C0160923,Contusion of trunk
,C0160924,Contusion of breast
,C0160925,Contusion of chest
,C0160927,Contusion of back
,C0160931,Contusion upper limb
,C0160943,Contusion of wrist
,C0160949,Contusion of thigh
,C0160950,Contusion of hip
,C0160953,Contusion of knee
,C0160955,Contusion of foot
,C0160956,Contusion of ankle
,C0160957,Contusion of toe
,C0238206,Contusion of kidney
,C0262560,Muscle contusion
,C0272950,Contusion of cerebral cortex
,C0273112,Myocardial Contusions
,C0274208,Contusion of cheek
,C0274209,Contusion of ear
,C0274210,Contusion of nose
,C0274211,Contusion of lip
,C0274212,Contusion of gingivae
,C0274214,Contusion of scalp
,C0274215,Contusion of neck
,C0274216,"Contusion, throat"
,C0274218,Contusion of flank
,C0274219,Contusion of groin
,C0274220,Contusion of buttock
,C0274223,Contusion of penis
,C0274224,Contusion of scrotum
,C0274225,Contusion of testis
,C0274227,Contusion of labium
,C0274228,Contusion of vulva
,C0274229,Contusion of vagina
,C0274230,Contusion of perineum
,C0274233,Contusion of fingernail
,C0274234,Contusion of thumb
,C0274235,Contusion of thumb nail
,C0274236,Contusion of lower limb
,C0274239,Contusion of toenail
,C0311340,Angle recession glaucoma
,C0332814,Postmortem contusion
,C0339090,Contusion of eyelid
,C0340143,Traumatic pneumonia
,C0340653,Arterial contusion
,C0340777,Contusion of vein
,C0347587,Contusion of palate
,C0347588,Contusion of tongue
,C0347593,Contusion of larynx
,C0347597,Brain stem contusion
,C0347625,Contusion of lung
,C0347632,Contusion of liver
,C0347635,Contusion of spleen
,C0432742,Superficial bruising
,C0432749,Contusion of forehead
,C0432750,Contusion of face
,C0432762,Contusion of forearm
,C0432763,Contusion of elbow
,C0432769,Contusion of hand
,C0432773,Contusion of finger
,C0433056,Deep bruising
,C0433736,Contusion of oropharynx
,C0433744,Contusion of trachea
,C0433790,Cerebellar Contusion
,C0433895,Spinal Cord Contusion
,C0434032,Contusion of gallbladder
,C0434049,Contusion of pancreas
,C0434064,Contusion of stomach
,C0434070,Contusion of duodenum
,C0434086,Contusion of appendix
,C0434098,Contusion of colon
,C0434105,Contusion of rectum
,C0434110,Contusion of mesentery
,C0434114,Contusion of omentum
,C0434296,Intramuscular contusion
,C0438624,Contusion of eye
,C0475003,Contusion of esophagus
,C0475018,Contusion of cecum
,C0497372,bruise/contusion
,C0559567,Multiple bruising
,C0559922,Contusion of jejunum
,C0559935,Contusion of ileum
,C0559945,Contusion of anus
,C0560323,Contusion of pharynx
,C0560565,Contusion of bronchus
,C0561016,Contusion of mouth
,C0561021,Contusion of heel
,C0561762,Contusion of ureter
,C0561771,Contusion of bladder
,C0561773,Contusion of urethra
,C0561783,Contusion of prostate
,C0561808,Contusion of ovary
,C0561813,Contusion of uterus
,C0561816,Contusion of cervix
,C0578447,Supraorbital bruise
,C0581309,Contusion of coccyx
,C0750971,Cerebral Contusion
,C1262270,Periorbital contusion
abrasion,C0043242,Superficial abrasion
,C0518443,skin abrasion
,C0580209,Surgical abrasion
,C1302752,Abrasion
,C1627366,Abrasion Pharmacologic Substance
,C0010032,Corneal abrasion
,C0011593,Dermabrasion
,C0040428,Tooth Abrasion
,C0189563,Pleural abrasion
,C0339091,Abrasion of eyelid
,C0432792,Abrasion and/or friction burn with infection
,C0432794,Abrasion of face
,C0432796,Abrasion of scalp
,C0432802,Abrasion of trunk
,C0432803,"Abrasion, interscapular"
,C0432804,"Abrasion, chest wall"
,C0432805,"Abrasion, breast"
,C0432807,"Abrasion, back"
,C0432808,"Abrasion, buttock"
,C0432809,"Abrasion, anus"
,C0432810,"Abrasion, flank"
,C0432811,"Abrasion, groin"
,C0432812,Abrasion of perineum
,C0432813,"Abrasion, penis"
,C0432815,"Abrasion, vulva"
,C0432816,Abrasion of vagina
,C0432831,"Abrasion, shoulder area"
,C0432832,"Abrasion, scapular area"
,C0432843,"Abrasion, forearm area"
,C0432854,Abrasion of finger
,C0432855,"Abrasion, thumb"
,C0432858,"Abrasion, hip"
,C0432859,"Abrasion, thigh"
,C0432860,"Abrasion, knee"
,C0432861,"Abrasion, lower leg"
,C0432862,"Abrasion, ankle"
,C0432870,Abrasion of foot
,C0432871,"Abrasion, toe"
,C0433702,Abrasion of palate
,C0433703,Abrasion and/or friction burn of gum without infection
,C0433704,Abrasion of tongue
,C0433735,Abrasion of oropharynx
,C0560946,Abrasion of head
,C0560947,Abrasion of forehead
,C0560950,Abrasion of nose
,C0560951,Abrasion of cheek
,C0560952,Abrasion of oral cavity
,C0560953,Abrasion of neck
,C0560954,Abrasion of throat
,C0560956,Abrasion of wrist
,C0560957,Abrasion of hand
,C0560958,Abrasion of pelvic region
,C0560959,Abrasion of genitalia
,C0563595,Mechanical abrasion
,C0748637,SHIN ABRASION
,C0752273,"Air Abrasion, Dental"
,C0850807,abrasion to eye
,C0854270,Conjunctival abrasion
,C0863620,Abrasion of epicardium
,C0948401,Ear abrasion
,C1112481,Uterine abrasion
,C1262285,Cervical abrasion
,C1264430,Abrasion of tonsil
,C1264434,Abrasion of chin
,C1456158,"Abrasion, localized"
,C1456159,"Abrasion, generalized"
,C1710262,Suture abrasion
,C1955965,Arthroscopic Subchondral Abrasion
