,Medical - Chest pain - Cardiac Suspected,Medical - ST Elevation Myocardial Infarction,Medical - Pulmonary Edema/CHF,Medical - Hypotension/Shock(Non-trauma) (Cardiogenic shock),Medical - Abdominal Aortic Aneurysm/Dissection,Cardiac Arrest - Unknown Rhythm (i.e. BLS),General - Cardiac Arrest,Medical - Supraventricular Tachycardia (including atrial fibrillation); Medical - Tachycardia; Medical - Ventricular Tachycardia with a Pulse,Medical - Bradycardia,General - Universal Patient Care/Initial Patient Contact,Medical - Abdominal Pain,Medical - Allergic Reaction/Anaphylaxis,General - Behavioral/Patient Restraint,Medical - Stroke/TIA,Medical - Dystonic/Extrapyramidal Reaction,Medical - Diabetic - Hyperglycemia,Medical - Diabetic - Hypoglycemia,Medical - Nausea/Vomiting,General - Pain Control,Medical - Respiratory Distress/Asthma/COPD/Croup/Reactive Airway,Medical - Seizure,Medical - Hypotension/Shock(Non-trauma),Medical - Sickle Cell Anemia/Crisis,Medical - Altered Mental Status,Airway - Failed,Medical - Sepsis,Medical - Overdose/Poisoning - Opioid,Medical - Overdose/Poisoning - Stimulant,medical - Overdose/Poisoning - Tricyclic Anti-depressant,Exposure- Organophosphate,Medical - Overdose/Poisoning - Calcium Channel Blocker,Medical - Overdose/Poisoning - Beta Blocker,Environmental - Hypothermia,Environmental - Heat Exposure/Heat Exhaustion; Environmental - Heat Stroke,Injury - Bites and Envenomations - Land,Injury - Diving Emergencies; Injury - Drowning/Near Drowning
Medical - Abdominal Pain,0.31599011850937264,0.31599011850937264,0.09200449549110812,0.0004931606293118174,0.0,0.0014215159891498574,0.0014215159891498574,0.0015515754389577863,0.004082673327612807,0.004082673327612807,1.0,0.0020775727150085244,0.001192788508111109,0.09377991986322698,0.11462995709396351,0.11085076671336469,0.14819756236065673,0.7071153989225238,0.1998390616547665,0.15767898347319753,0.0014436979568529518,0.0005323793314595537,3.841884213906521e-05,0.0017895065082584871,0.0,0.15392213409893196,4.4420576584602856e-05,2.43179496375312e-05,4.4420576584602856e-05,0.16874196560564203,7.713250396768068e-05,0.00010906852324399363,0.0025724473842295703,0.15817257424064535,0.15690742356187726,0.002104305751266633
Medical - Allergic Reaction/Anaphylaxis,0.009433262328721215,0.009433262328721215,0.2520215439899798,0.10832719783630962,0.0,0.46294811520727297,0.0,0.003947694148305092,0.030454555632226432,0.030454555632226432,0.0020775727150085244,1.0,0.3944356443016904,0.4660933926857067,0.004621772408832658,0.004406860763319642,0.008882311833686596,0.0028942435282017787,0.0,0.4043190031205459,0.0,0.08804509063256238,0.006353722314613841,6.898583865566632e-05,0.0,0.4159893232513052,0.23513783395847299,0.25738953601723713,0.23513783395847299,0.21471861632159417,9.812463091118939e-05,0.00013875225147408354,0.4191759419746779,0.42671267639420596,0.4299088851012962,0.32747382700506233
General - Behavioral/Patient Restraint,0.005497939952726405,0.005497939952726405,0.14685166051656218,0.07849313899328658,0.0,0.2698176781205328,0.0,0.0023008143548630677,0.017703807841281005,0.017703807841281005,0.001192788508111109,0.3944356443016904,1.0,0.27161793258780254,0.0026534796960585583,0.49827504763646946,0.3364940993987269,0.0016868371271910876,0.0,0.11873694768759979,0.002107907947456078,0.06789351909530827,0.003703107424001817,0.0,0.0,0.2459570294240121,0.13701124366707262,0.15001302456885157,0.13701124366707262,0.0019849482232963123,0.0,0.0,0.24784033164012653,0.2486432869979046,0.021574118863170955,0.1908133189034792
Medical - Stroke/TIA,0.004510116513318452,0.004510116513318452,0.16744535256021387,0.020044997023283995,0.23415895474876147,0.499313269722372,0.16816250016556566,0.00564763917270017,0.007430339909818562,0.007430339909818562,0.09377991986322698,0.4660933926857067,0.27161793258780254,1.0,0.8181100494206281,0.2048972520586324,0.5415039836565423,0.13058430877021998,0.0,0.14348545056451845,0.16819951958066892,0.02163907960222855,6.992111127390732e-05,0.006415001303947676,0.0,0.2845074339983191,0.4967868925250063,0.5438855854938193,0.4967868925250063,0.153590073482065,0.00014037878531669712,0.00019850135833388016,0.2866898773154778,0.29222674956586725,0.004595956749872454,0.23796029593130352
Medical - Dystonic/Extrapyramidal Reaction,0.005512848199961007,0.005512848199961007,0.0033424087736994013,0.02450159002139085,0.2862193844392803,0.2055499749509928,0.2055499749509928,0.006903275637183182,0.009082323233995937,0.009082323233995937,0.11462995709396351,0.004621772408832658,0.0026534796960585583,0.8181100494206281,1.0,0.2504519437253425,0.6618962620493736,0.159617045240671,0.0,0.0,0.2055952248719901,0.02645008409021865,8.546663291009171e-05,0.007841244962692673,0.0,0.005596935255638091,0.4048577693743065,0.4432229419821736,0.4048577693743065,0.1877376687779777,0.00017158912228998346,0.00024263405451929732,0.005722671585796868,0.01631190179257247,0.005617773248387858,0.004681242774653982
Medical - Diabetic - Hyperglycemia,0.0027301210270280762,0.0027301210270280762,0.003140119863017987,0.07008681052610388,0.004464107779862281,0.003156600883088223,0.003156600883088223,0.006890818588289327,0.00439560439560438,0.00439560439560438,0.11085076671336469,0.004406860763319642,0.49827504763646946,0.2048972520586324,0.2504519437253425,1.0,0.6683736993408124,0.15676474714350008,0.0,0.0027354688051515197,0.0031565369965708134,0.07566047878575344,0.0,0.007706678484867169,0.0,0.016010036101588132,0.00315647311393219,0.0034560089093259583,0.00315647311393219,0.0029266786726995786,0.0,0.0,0.010752649321345342,0.010633447678586316,0.005356547730094641,0.0
Medical - Diabetic - Hypoglycemia,0.11860817088138886,0.11860817088138886,0.1406506197940579,0.07831761481902155,0.19393999502037373,0.1371362856221915,0.1371362856221915,0.004605641911341385,0.00885962389922923,0.00885962389922923,0.14819756236065673,0.008882311833686596,0.3364940993987269,0.5415039836565423,0.6618962620493736,0.6683736993408124,1.0,0.10480301440274464,0.0,0.0018283154047304961,0.13713351011777153,0.08454583951082228,5.702056925438459e-05,0.005150941208560966,0.0,0.017890211171412984,0.2721517659517019,0.2979778042988498,0.2721517659517019,0.25233884161177134,0.0,0.0,0.010836328788219163,0.2416974942469461,0.010796467110271601,0.0
Medical - Nausea/Vomiting,0.22431896411331542,0.22431896411331542,0.002093547577637689,0.0004649506337657261,0.0,0.0,0.0,0.0,0.002930590976175873,0.002930590976175873,0.7071153989225238,0.0028942435282017787,0.0016868371271910876,0.13058430877021998,0.159617045240671,0.15676474714350008,0.10480301440274464,1.0,0.14130583350275905,0.22298903929042257,3.141034381604069e-05,0.0005019259301199952,5.433178544500539e-05,3.834414441394873e-05,0.0,0.2176230120156818,3.140970812709476e-05,3.439035506025423e-05,3.140970812709476e-05,0.11931713399451116,5.454025190598788e-05,7.712215248756316e-05,0.0035844464418397504,0.003544710011172292,0.22184459969506953,8.883287953909136e-05
General - Pain Control,0.6299898464750205,0.6299898464750205,0.18114981083542603,0.0,0.2575291119918601,0.18210058144239416,0.18210058144239416,0.19876159799998128,0.25357723256010467,0.25357723256010467,0.1998390616547665,0.0,0.0,0.0,0.0,0.0,0.0,0.14130583350275905,1.0,0.0,0.0,0.0,0.6299612341996964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Medical - Respiratory Distress/Asthma/COPD/Croup/Reactive Airway,0.001941721834968102,0.001941721834968102,0.5739637493040322,0.03323151586676476,0.003174971169408347,0.1459278368574265,0.002245043643960387,0.004900901015458148,0.0031262500630302448,0.0031262500630302448,0.15767898347319753,0.4043190031205459,0.11873694768759979,0.14348545056451845,0.0,0.0027354688051515197,0.0018283154047304961,0.22298903929042257,0.0,1.0,0.0,0.0179371295567754,0.003883267295411885,0.0027405792162692455,0.0,0.49342315206440845,0.004489905543479722,0.16222728628026162,0.004489905543479722,0.13321714784554528,0.0,0.0,0.0,0.2457890743150586,0.24763010980074374,0.0
Medical - Seizure,0.0,0.0,4.026711211768674e-05,0.01917340623443231,0.0,0.002590621142427807,0.002590621142427807,0.002827646095377112,0.0036638375853054184,0.0036638375853054184,0.0014436979568529518,0.0,0.002107907947456078,0.16819951958066892,0.2055952248719901,0.0031565369965708134,0.13713351011777153,3.141034381604069e-05,0.0,0.0,1.0,0.02069817537367602,0.0,0.003211847080569541,0.0,0.004448244710841376,0.1658335188860396,0.18157041040690292,0.1658335188860396,0.15612506467591925,7.02845050890577e-05,9.93851720437755e-05,0.004481290532486248,0.004431611874028296,0.0,0.23816827534788743
Medical - Hypotension/Shock(Non-trauma),0.036083845500884726,0.036083845500884726,0.0627367536178437,0.9263331616571918,0.02927223277121771,0.02069859429299914,0.02069859429299914,0.04518476158003104,0.08782019859060664,0.08782019859060664,0.0005323793314595537,0.08804509063256238,0.06789351909530827,0.02163907960222855,0.02645008409021865,0.07566047878575344,0.08454583951082228,0.0005019259301199952,0.0,0.0179371295567754,0.02069817537367602,1.0,0.000559414057044294,0.05092935313487812,0.0,0.21105690521040232,0.021021158924784067,0.022661885026510786,0.021021158924784067,0.019790655673047164,0.0005615604814211972,0.0007940695461730041,0.10741410211073577,0.14108637380284694,0.10701897693236195,0.0009146462081988105
Medical - Sickle Cell Anemia/Crisis,0.25191891385951437,0.25191891385951437,0.2898207570431781,0.03368324648892629,0.4055833930818602,0.28679076758483235,0.28679076758483235,0.3179213516871948,0.40569705908360465,0.40569705908360465,3.841884213906521e-05,0.006353722314613841,0.003703107424001817,6.992111127390732e-05,8.546663291009171e-05,0.0,5.702056925438459e-05,5.433178544500539e-05,0.6299612341996964,0.003883267295411885,0.0,0.000559414057044294,1.0,0.0,0.0,0.007694314925424495,0.004480924362616268,0.004906144915622468,0.004480924362616268,0.0,0.0,0.0,0.00011925347177343948,0.007665544411915914,0.007722961688573782,0.0
Medical - Altered Mental Status,0.002735221447410563,0.002735221447410563,9.831207013966115e-05,0.047177548710587325,0.004472447639555122,0.4111247470760532,0.20872487159245767,0.2312736832218798,0.286385677268011,0.286385677268011,0.0017895065082584871,6.898583865566632e-05,0.0,0.006415001303947676,0.007841244962692673,0.007706678484867169,0.005150941208560966,3.834414441394873e-05,0.0,0.0027405792162692455,0.003211847080569541,0.05092935313487812,0.0,1.0,0.0,0.010860380171595518,0.20565287709142277,0.22511435433978155,0.20565287709142277,0.18770317815696813,0.7030430383792218,0.4971871657776077,0.34489592253206625,0.010819771135253231,8.38524195125867e-05,0.29081354693961003
Airway - Failed,0.0,0.0,0.0,0.0,0.0,0.0,0.40718927884743006,0.44444444444444453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Medical - Sepsis,0.011364427413150358,0.011364427413150358,0.29648233058756557,0.2279250119997679,0.00619411231547129,0.28469342341055337,0.004379898821700867,0.01434189306784095,0.02468213898994831,0.02468213898994831,0.15392213409893196,0.4159893232513052,0.2459570294240121,0.2845074339983191,0.005596935255638091,0.016010036101588132,0.017890211171412984,0.2176230120156818,0.0,0.49342315206440845,0.004448244710841376,0.21105690521040232,0.007694314925424495,0.010860380171595518,0.0,1.0,0.008896309372718014,0.3165672599228242,0.008896309372718014,0.004124324517758238,0.00023765653416596422,0.0003360560838480131,0.02272921980155862,0.5093690286645837,0.029961883811956636,0.00019354250790437622
Medical - Overdose/Poisoning - Opioid,0.002240563941094731,0.002240563941094731,0.0026575756141239415,0.03864561480762574,0.23813513152364496,0.4999797615915401,0.4999797615915401,0.3675865529569444,0.23459359107474886,0.23459359107474886,4.4420576584602856e-05,0.23513783395847299,0.13701124366707262,0.4967868925250063,0.4048577693743065,0.00315647311393219,0.2721517659517019,3.140970812709476e-05,0.0,0.004489905543479722,0.1658335188860396,0.021021158924784067,0.004480924362616268,0.20565287709142277,0.0,0.008896309372718014,1.0,0.7318065675875132,1.0,0.15375755882783826,0.2880200727279272,0.0001987663213328661,0.28252241447855886,0.004499699450567163,0.004464715645325024,0.23455751973414707
Medical - Overdose/Poisoning - Stimulant,0.002453183874166265,0.002453183874166265,0.18344765696424092,0.0419849112114391,0.2607331367837842,0.547425702096488,0.3658959355981708,0.20433038712094898,0.0040114389126104655,0.0040114389126104655,2.43179496375312e-05,0.25738953601723713,0.15001302456885157,0.5438855854938193,0.4432229419821736,0.0034560089093259583,0.2979778042988498,3.439035506025423e-05,0.0,0.16222728628026162,0.18157041040690292,0.022661885026510786,0.004906144915622468,0.22511435433978155,0.0,0.3165672599228242,0.7318065675875132,1.0,0.7318065675875132,0.16830740272459566,0.3152749928583616,0.00010881419746111565,7.548379282729112e-05,0.3106061467688246,0.004813191936393624,6.266862492443348e-05
medical - Overdose/Poisoning - Tricyclic Anti-depressant,0.002240563941094731,0.002240563941094731,0.0026575756141239415,0.03864561480762574,0.23813513152364496,0.4999797615915401,0.4999797615915401,0.3675865529569444,0.23459359107474886,0.23459359107474886,4.4420576584602856e-05,0.23513783395847299,0.13701124366707262,0.4967868925250063,0.4048577693743065,0.00315647311393219,0.2721517659517019,3.140970812709476e-05,0.0,0.004489905543479722,0.1658335188860396,0.021021158924784067,0.004480924362616268,0.20565287709142277,0.0,0.008896309372718014,1.0,0.7318065675875132,1.0,0.15375755882783826,0.2880200727279272,0.0001987663213328661,0.28252241447855886,0.004499699450567163,0.004464715645325024,0.23455751973414707
Exposure- Organophosphate,0.1329891715432503,0.1329891715432503,0.1529982970379291,0.01833274064088264,0.21740175029173203,0.30745250374621635,0.15372625187310818,0.0,0.2141701642986189,0.2141701642986189,0.16874196560564203,0.21471861632159417,0.0019849482232963123,0.153590073482065,0.1877376687779777,0.0029266786726995786,0.25233884161177134,0.11931713399451116,0.0,0.13321714784554528,0.15612506467591925,0.019790655673047164,0.0,0.18770317815696813,0.0,0.004124324517758238,0.15375755882783826,0.16830740272459566,0.15375755882783826,1.0,0.266986753171889,0.37753021613781557,0.26604553784471197,0.25905052313863364,0.26099089093981664,0.21748149461410737
Medical - Overdose/Poisoning - Calcium Channel Blocker,0.0,0.0,0.00013983791144034363,0.0005201920962166762,0.0,0.5757823189607371,0.2878911594803686,0.3142313245522892,0.4010876228018958,0.4010876228018958,7.713250396768068e-05,9.812463091118939e-05,0.0,0.00014037878531669712,0.00017158912228998346,0.0,0.0,5.454025190598788e-05,0.0,0.0,7.02845050890577e-05,0.0005615604814211972,0.0,0.7030430383792218,0.0,0.00023765653416596422,0.2880200727279272,0.3152749928583616,0.2880200727279272,0.266986753171889,1.0,0.7071930715988751,0.49057583064499277,0.00023676789098026063,0.00011927067751915654,0.40728892357084545
Medical - Overdose/Poisoning - Beta Blocker,0.0,0.0,0.00019773654049559664,0.0007355729532821931,0.0,0.40708990379315024,0.0,0.0,0.5671543442798255,0.5671543442798255,0.00010906852324399363,0.00013875225147408354,0.0,0.00019850135833388016,0.00024263405451929732,0.0,0.0,7.712215248756316e-05,0.0,0.0,9.93851720437755e-05,0.0007940695461730041,0.0,0.4971871657776077,0.0,0.0003360560838480131,0.0001987663213328661,0.00010881419746111565,0.0001987663213328661,0.37753021613781557,0.7071930715988751,1.0,0.6936943394197318,0.0003347995059468367,0.00016865362842077847,0.5759232378366151
Environmental - Hypothermia,0.007692198286280427,0.007692198286280427,0.017831933448968273,0.09950124481480627,0.0,0.5647919237924631,0.0,0.0,0.41820125396232366,0.41820125396232366,0.0025724473842295703,0.4191759419746779,0.24784033164012653,0.2866898773154778,0.005722671585796868,0.010752649321345342,0.010836328788219163,0.0035844464418397504,0.0,0.0,0.004481290532486248,0.10741410211073577,0.00011925347177343948,0.34489592253206625,0.0,0.02272921980155862,0.28252241447855886,7.548379282729112e-05,0.28252241447855886,0.26604553784471197,0.49057583064499277,0.6936943394197318,1.0,0.03019230787505678,0.030301463445747467,0.7989318898915865
Environmental - Heat Exposure/Heat Exhaustion; Environmental - Heat Stroke,0.25668946442288143,0.25668946442288143,0.5819303268563334,0.16298777879469994,0.0,0.28362890030961063,0.004363521543224724,0.014288265989634952,0.04291355670286612,0.04291355670286612,0.15817257424064535,0.42671267639420596,0.2486432869979046,0.29222674956586725,0.01631190179257247,0.010633447678586316,0.2416974942469461,0.003544710011172292,0.0,0.2457890743150586,0.004431611874028296,0.14108637380284694,0.007665544411915914,0.010819771135253231,0.0,0.5093690286645837,0.004499699450567163,0.3106061467688246,0.004499699450567163,0.25905052313863364,0.00023676789098026063,0.0003347995059468367,0.03019230787505678,1.0,0.044774775906227804,0.006459430318947912
Injury - Bites and Envenomations - Land,0.011466148496199868,0.011466148496199868,0.026444511213133737,0.13167191723128147,0.0,0.0,0.0,0.004798429826787354,0.03701757092047553,0.03701757092047553,0.15690742356187726,0.4299088851012962,0.021574118863170955,0.004595956749872454,0.005617773248387858,0.005356547730094641,0.010796467110271601,0.22184459969506953,0.0,0.24763010980074374,0.0,0.10701897693236195,0.007722961688573782,8.38524195125867e-05,0.0,0.029961883811956636,0.004464715645325024,0.004813191936393624,0.004464715645325024,0.26099089093981664,0.00011927067751915654,0.00016865362842077847,0.030301463445747467,0.044774775906227804,1.0,0.00019426308750603027
Injury - Diving Emergencies; Injury - Drowning/Near Drowning,4.95059286969024e-05,4.95059286969024e-05,0.00017082160296122417,0.0008472671138386456,0.0,0.47256839183321875,0.0036633208669242245,0.003998490854499881,0.3318182908617884,0.3318182908617884,0.002104305751266633,0.32747382700506233,0.1908133189034792,0.23796029593130352,0.004681242774653982,0.0,0.0,8.883287953909136e-05,0.0,0.0,0.23816827534788743,0.0009146462081988105,0.0,0.29081354693961003,0.0,0.00019354250790437622,0.23455751973414707,6.266862492443348e-05,0.23455751973414707,0.21748149461410737,0.40728892357084545,0.5759232378366151,0.7989318898915865,0.006459430318947912,0.00019426308750603027,1.0
